x,result
-5.0,-0.7760645178967629
-4.9,-0.8356505492404455
-4.800000000000001,-0.9167407063404264
-4.700000000000001,-1.012464477112438
-4.600000000000001,-1.1179720063689167
-4.500000000000002,-1.2315331269317191
-4.400000000000002,-1.3560310721980375
-4.3000000000000025,-1.5009812921363297
-4.200000000000003,-1.6864285566652806
-4.100000000000003,-1.953029197938795
-4.0000000000000036,-2.3932966331587133
-3.9000000000000035,-3.2760572492281472
-3.8000000000000034,-5.879535245270628
-3.7000000000000033,-99.19314716647207
-3.600000000000003,5.757755535284033
-3.500000000000003,2.666355716609091
-3.400000000000003,1.7199444062983342
-3.300000000000003,1.2918475422767997
-3.200000000000003,1.0733608358656659
-3.1000000000000028,0.9649384303063198
-3.0000000000000027,0.9255946958303972
-2.9000000000000026,0.9357584160900956
-2.8000000000000025,0.9844960393881902
-2.7000000000000024,1.0636248961431252
-2.6000000000000023,1.1641080612132635
-2.500000000000002,1.273673957866653
-2.400000000000002,1.3761708701934934
-2.300000000000002,1.4536898719522582
-2.200000000000002,1.4914032527154262
-2.100000000000002,1.4826802606152558
-2.0000000000000018,1.430955278699187
-1.9000000000000017,1.3471256136230079
-1.8000000000000016,1.2447090456428942
-1.7000000000000015,1.135860135398571
-1.6000000000000014,1.0296128927480672
-1.5000000000000013,0.9319279047753923
-1.4000000000000012,0.8465540942247963
-1.3000000000000012,0.7759461017081342
-1.200000000000001,0.7218325967621246
-1.100000000000001,0.6852742279723285
-1.0000000000000009,0.6662690797718811
-0.9000000000000009,0.6632627837531517
-0.8000000000000009,0.6731326679309143
-0.700000000000001,0.6919725145469231
-0.600000000000001,0.7163443549474583
-0.500000000000001,0.744284606073755
-0.400000000000001,0.7756805652113934
-0.30000000000000104,0.8122130208175073
-0.20000000000000104,0.8573329213907711
-0.10000000000000103,0.9167441623391437
-1.0269562977782698E-15,NaN
0.09999999999999898,5.486471617765818
0.19999999999999898,0.0031022822262644226
0.299999999999999,1.0237281746072054E-8
0.399999999999999,6.74129515779519E-7
0.499999999999999,9.921801672250963E-6
0.599999999999999,1.3155304831259397E-5
0.699999999999999,5.8433755968081675E-6
0.7999999999999989,9.164612223430449E-7
0.8999999999999989,2.121020144335093E-8
0.9999999999999989,NaN
1.099999999999999,3.415678349005088E-8
1.199999999999999,2.530185828722486E-6
1.2999999999999992,3.209259292361271E-5
1.3999999999999992,1.9510993536697932E-4
1.4999999999999993,7.879623301859142E-4
1.5999999999999994,0.0024492076487845917
1.6999999999999995,0.006344102940611107
1.7999999999999996,0.014367860565424452
1.8999999999999997,0.029354669636689083
1.9999999999999998,0.05528217544969494
2.0999999999999996,0.09746357271655906
2.1999999999999997,0.16272117185506743
2.3,0.2595399634103045
2.4,0.3981985582204183
2.5,0.5908746278304957
2.6,0.8517337634560056
2.7,1.196989851781397
2.8000000000000003,1.6449533354223629
2.9000000000000004,2.2160590005484235
3.0000000000000004,2.9328711315975364
3.1000000000000005,3.8200892101260386
3.2000000000000006,4.904533125506222
3.3000000000000007,6.215104742541873
3.400000000000001,7.782771713775381
3.500000000000001,9.640523620260886
3.600000000000001,11.82329973878551
3.700000000000001,14.367970061321179
3.800000000000001,17.313271633169244
3.9000000000000012,20.699707831278207
4.000000000000001,24.56955643013169
4.1000000000000005,28.966728588807715
4.2,33.93676604371735
4.3,39.52676100451325
4.3999999999999995,45.78523230176218
4.499999999999999,52.762145058846244
4.599999999999999,60.50882059856771
4.699999999999998,69.07778844206808
4.799999999999998,78.52284918687504
4.899999999999998,88.89897262039034
4.999999999999997,100.26212112717528
